DATE,PROJECT_ID,TITLE,BOROUGH,LEVEL_OF_REVIEW,AGENCY,CERTIFICATE_NUMBER,PUBLIC_PRIVATE,ACTION,PROJECT_TYPE
02/12/2018,17217,"Installation of a prototypical newsstand, 402 Park Avenue South, southwest corner of Park Avenue South and East 28th Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26498,Private,Calendared for Public Hearing,Newsstand
02/12/2018,17343,"Construction of an ADA ramp and stairs, 40-04 Bowne Street, Flushing, Queens",Queens,Preliminary and Final,DOT,26497,Private,Calendared for Consent,Building systems & Modifications
02/12/2018,17461,"Rehabilitation of the Richmond Hill Community Library, 118-14 Hillside Avenue, Richmond Hill, Queens",Queens,Preliminary and Final,QL,26496,Public,Calendared for Consent,Architecture
02/12/2018,17761,"Installation of a prototypical newsstand, 1180 2nd Avenue, northeast corner of 2nd Avenue and 62nd Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26471,Private,Calendared for Consent,Newsstand
02/12/2018,18192,"Reconstruction of the Arthur Ross Nursery Headhouse, Van Cortlandt Park, Van Cortlandt Park East, Major Deegan Expressway and East 242nd Street, Bronx",Bronx,Preliminary,DPR,26486,Public,Calendared for Consent,Architecture
02/12/2018,18211,"Construction of a trailhead and parking lot, Arden Heights Woods, Arden Avenue and Arthur Kill Road, Staten Island",Staten Island,Preliminary,DPR,26482,Public,Calendared for Consent,Landscape architecture
02/12/2018,19159,"Installation of a prototypical newsstand, 248 West 88th Street, southeast corner of Broadway and West 88th Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26473,Private,Calendared for Consent,Newsstand
02/12/2018,19166,"Construction of stairs and planters, 91-30 Van Wyck Expressway, Jamaica, Queens",Queens,Preliminary and Final,DOT,26480,Private,Calendared for Consent,Building systems & Modifications
02/12/2018,19167,"Construction of stairs, 115 Dooley Street, Brooklyn",Brooklyn,Preliminary and Final,DOT,26481,Private,Calendared for Consent,Building systems & Modifications
02/12/2018,19173,"Reconstruction of Bridge Park 2, Jay Street, York Street, Bridge Street, and Prospect Street, Brooklyn",Brooklyn,Preliminary,DPR,26485,Public,Calendared for Consent,Landscape architecture
02/12/2018,19208,"Installation of bulkheads, 545 West 52nd Street, Manhattan",Manhattan,Preliminary and Final,HPD,26495,Private,Calendared for Consent,Building systems & Modifications
02/12/2018,19543,"Construction of a prototypical planted median, Grand Concourse Boulevard, Phase IV, from East 175th Street to Fordham Road, Bronx",Bronx,Preliminary,DDC/DOT,26478,Public,Calendared for Consent,Landscape architecture
02/12/2018,19544,"Construction of an operations building, Homeport Pier, 405 Front Street, Staten Island",Staten Island,Preliminary,EDC,26493,Public,Calendared for Consent,Architecture
02/12/2018,19545,"Installation of a prototypical newsstand, 572 West 207th Street, southeast corner of West 207th Street and Vermilyea Avenue, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26475,Private,Calendared for Consent,Newsstand
02/12/2018,19546,"Installation of prefabricated trailers, Glendale Yard, 69-46 Sybilla Street, Forest Hills, Queens",Queens,Preliminary and Final,DOT,26479,Private,Calendared for Consent,Architecture
02/12/2018,19547,"Installation of rooftop HVAC equipment, Engine Company 66, 21 Asch Loop West, Bronx",Bronx,Preliminary and Final,FDNY,26494,Public,Calendared for Consent,Building systems & Modifications
02/12/2018,19548,"Reconstruction of a playground and basketball courts, Patterson Playground, adjacent to P.S. 18, College Avenue, East 145th Street, Morris Avenue, and East 148th Street, Bronx",Bronx,Final,DPR,26488,Public,Calendared for Consent,Landscape architecture
02/12/2018,19549,"Reconstruction of a plaza and playground and adjacent site work, Bensonhurst Park, 21st Avenue, Cropsey Avenue, Bay Parkway, and the Belt Parkway, Brooklyn",Brooklyn,Preliminary,DPR,26483,Public,Calendared for Consent,Landscape architecture
02/12/2018,19550,"Reconstruction of a plaza, Doughboy Park, Woodside Avenue and 56th Street, Woodside, Queens",Queens,Preliminary,DPR,26484,Public,Calendared for Consent,Landscape architecture
02/12/2018,19551,"Reconstruction of a soccer field and baseball field as Phase II of the reconstruction of the Red Hook Recreation Area, Bay Street, Clinton Street, and Henry Street Basin, Brooklyn",Brooklyn,Final,DPR,26489,Public,Calendared for Consent,Landscape architecture
02/12/2018,19552,"Reconstruction of an entrance and loading dock and installation of mechanical equipment, Building 22, Brooklyn Navy Yard, Brooklyn",Brooklyn,Preliminary and Final,BNYDC,26470,Public and Private,Calendared for Consent,Building systems & Modifications
02/12/2018,19553,"Reconstruction of Hugh J. Grant Circle and Virginia Park, White Plains Road, Westchester Avenue, and the Cross Bronx Expressway, Bronx",Bronx,Final,DPR/DOT,26492,Public,Calendared for Consent,Landscape architecture
02/12/2018,19554,"Rehabilitation of a comfort station and a utility building, Betsy Head Park, Dumont Avenue, Thomas S. Boyland Street, Livonia Avenue, and Strauss Street, Brooklyn",Brooklyn,Preliminary,DPR,26487,Public,Calendared for Consent,Architecture
02/12/2018,19555,"Rehabilitation of a greenhouse (Palm House), Forest Park, 88th Lane between Myrtle Avenue and Forest Park Drive, Forest Hills, Queens",Queens,Final,DPR,26491,Public,Calendared for Consent,Architecture
02/12/2018,19556,"Rehabilitation of the Woodhaven Library and adjacent site work, 85-41 Forest Parkway, Jamaica, Queens",Queens,Preliminary,DDC,26476,Public,Calendared for Consent,Architecture
02/12/2018,19559,"Reconstruction of an entrance and adjacent site work, Madison Square Park, Broadway, and 24th Street, Manhattan",Manhattan,Final,DPR,26490,Public,Calendared for Consent,Landscape architecture
03/12/2018,17149,"Installation of a prototypical newsstand, 166 West 125th Street, southeast corner of 7th Avenue and West 125th Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26499,Private,Calendared for Consent,Newsstand
03/12/2018,18083,"Reconstruction of the Rugby Branch of the Brooklyn Public Library, 100 Utica Avenue, Brooklyn",Brooklyn,Preliminary,DDC,26504,Public,Calendared for Consent,Architecture
03/12/2018,18185,"Construction of an ADA ramp and stairs, 621 Lenox Avenue, Manhattan",Manhattan,Preliminary and Final,HPD,26532,Private,Calendared for Consent,Landscape architecture
03/12/2018,19154,"Construction of the Edenwald YMCA facility and adjacent site work, including a guard booth, athletic courts, and adjacent site work at the Christopher School Facility, 1250 East 229th Street at Schieffelin Place, Bronx",Bronx,Preliminary,EDC/ACS,26528,Private,Calendared for Consent,Architecture
03/12/2018,19158,"Installation of a marquee and LED screen, including escalators and a balcony enclosure, the Palace Theater, 1568 Broadway, Manhattan",Manhattan,Preliminary and Final,DOT,26507,Private,Calendared for Consent,Building systems & Modifications
03/12/2018,19178,"Construction of stairs, 238 East 26th Street, Manhattan",Manhattan,Preliminary and Final,DOT,26509,Private,Calendared for Consent,Building systems & Modifications
03/12/2018,19538,"Installation of an emergency generator, Engine Company 282, 4210 12th Avenue, Brooklyn",Brooklyn,Preliminary and Final,FDNY,26530,Public,Calendared for Consent,Building systems & Modifications
03/12/2018,19557,"Installation of a prototypical public toilet (APT), Ferris Street between Van Dyke Street and Coffey Street, Louis Valentino, Jr. Park and Pier, Brooklyn",Brooklyn,Preliminary and Final,DOT/DPR,26513,Private,Calendared for Consent,Street furniture
03/12/2018,19558,"Rehabilitation of Engine Company 276, 1635 East 14th Street, Brooklyn",Brooklyn,Preliminary and Final,FDNY,26531,Public,Calendared for Consent,Architecture
03/12/2018,19766,"Construction of an ADA path, reading terrace, and adjacent site work, Richmond Hill Community Library, 118-14 Hillside Avenue, Richmond Hill, Queens",Queens,Preliminary,QL,26533,Public,Calendared for Consent,Landscape architecture
03/12/2018,19885,"Installation of a prototypical newsstand, 244 East 86th Street, southwest corner of 2nd Avenue and East 86th Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26500,Private,Calendared for Consent,Newsstand
03/12/2018,19886,"Installation of a prototypical newsstand, 617 Pacific Street, southwest corner of Flatbush Avenue and Atlantic Avenue, Brooklyn",Brooklyn,Final,DCA/DOT,26501,Private,Calendared for Consent,Newsstand
03/12/2018,19887,"Conservation of Alexander Hamilton (circa 1940) by Adolph Alexander Weinman, Museum of the City of New York, Manhattan",Manhattan,Final,DCLA,26502,Public,Calendared for Consent,Artwork
03/12/2018,19888,"Conservation of DeWitt Clinton (circa 1940) by Adolph Alexander Weinman, Museum of the City of New York, Manhattan",Manhattan,Final,DCLA,26503,Public,Calendared for Consent,Artwork
03/12/2018,19889,"Relocation of a weather monitoring station, Shaft 18, Kensico Reservoir, Westlake Drive, Valhalla, Mount Pleasant, Westchester County",Upstate,Preliminary and Final,DEP,26505,Public,Calendared for Consent,Artwork
03/12/2018,19890,"Restoration of a pond and construction of a bioretention area, Roy Wilkins Park, Merrick Boulevard and Baisley Boulevard, Jamaica, Queens",Queens,Preliminary and Final,DEP/DPR,26506,Public,Calendared for Consent,Artwork
03/12/2018,19891,"Construction of an ADA lift, stoop, and fencing, 347 Greene Avenue, Brooklyn",Brooklyn,Preliminary and Final,DOT,26508,Private,Calendared for Consent,Building systems & Modifications
03/12/2018,19892,"Installation of City Light poles, 2nd Avenue between East 59th Street and East 64th Street, Manhattan",Manhattan,Preliminary and Final,DOT,26510,Public,Calendared for Consent,Distinctive lighting
03/12/2018,19893,"Installation of TBTA light poles, Bell Boulevard between 35th Avenue and Northern Boulevard, Bayside, Queens",Queens,Preliminary and Final,DOT,26511,Public,Calendared for Consent,Distinctive lighting
03/12/2018,19894,"Installation of TBTA light poles, Merrick Boulevard between Springfield Boulevard and Hook Creek Boulevard, Laurelton, Queens",Queens,Preliminary and Final,DOT,26512,Public,Calendared for Consent,Distinctive lighting
03/12/2018,19896,"Reconstruction of Lewis Playground, Willoughby Avenue and Lewis Avenue, Brooklyn",Brooklyn,Preliminary,DPR,26515,Public,Calendared for Consent,Landscape architecture
03/12/2018,19898,"Relocation of two World War I plaques, Doughboy Park, Woodside Avenue and 56th Street, Woodside, Queens",Queens,Preliminary,DPR,26517,Public,Calendared for Consent,Artwork
03/12/2018,19899,"Reconstruction of a playground, Clawson Playground, adjacent to P.S. 50, Adelaide Avenue between Platt Street and Clawson Street, Staten Island",Staten Island,Preliminary and Final,DPR,26518,Public,Calendared for Consent,Landscape architecture
03/12/2018,19900,"Reconstruction of Hart Playground, formerly Eight Oaks Trapezoid Park, Broadway, 69th Street, 37th Avenue, and 65th Street, Woodside, Queens",Queens,Preliminary and Final,DPR,26519,Public,Calendared for Consent,Landscape architecture
03/12/2018,19902,"Construction of a playground, plaza, and adjacent site work, Faber Park, Richmond Terrace between Sharpe Avenue and Faber Street, Staten Island",Staten Island,Final,DPR,26521,Public,Calendared for Consent,Landscape architecture
03/12/2018,19903,"Reconstruction of a playground, Rosemary's Playground, Woodward Avenue between Woodbine Street and Madison Street, Ridgewood, Queens",Queens,Final,DPR,26522,Public,Calendared for Consent,Landscape architecture
03/12/2018,19906,"Reconstruction of the Crossroads and Rail Track Walk, High Line Park (formerly elevated rail line), West 30th Street between 10th Avenue and 11th Avenue, Manhattan",Manhattan,Preliminary,DPR/FHL,26525,Public,Calendared for Consent,Landscape architecture
03/12/2018,19907,"Installation of rooftop mechanical equipment, Brooklyn Wholesale Meat Market, 5600 1st Avenue, between 54th Street and 56th Street, Brooklyn",Brooklyn,Preliminary and Final,EDC,26526,Private,Calendared for Consent,Building systems & Modifications
03/12/2018,19908,"Renovation of a warehouse (Fresh Direct), 9 29th Street, Brooklyn",Brooklyn,Preliminary and Final,EDC,26527,Private,Calendared for Consent,Architecture
03/12/2018,19909,"Rehabilitation of a façade, Engine Company 46, 460 Cross Bronx Expressway, Bronx",Bronx,Preliminary,FDNY,26529,Public,Calendared for Consent,Building systems & Modifications
04/16/2018,12768,"Reconstruction of the sidewalk, Battery Maritime Building, 10 South Street, Manhattan",Manhattan,Preliminary and Final,EDC/DOT,26571,Public,Calendared for Consent,Distinctive sidewalk
04/16/2018,17782,"Installation of a prototypical newsstand, 787 Seventh Avenue, northeast corner of West 51st street and Seventh Avenue, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26534,Private,Calendared for Consent,Newsstand
04/16/2018,19153,"Construction of a maintenance building, Bush Terminal Industrial Campus, 58 50th Street, Brooklyn",Brooklyn,Preliminary,EDC,26564,Public,Calendared for Consent,Architecture
04/16/2018,19168,"Installation of streetscape improvements, Hudson Street between Canal Street and West Houston Street, Manhattan",Manhattan,Preliminary,EDC/DOT,26570,Public,Calendared for Consent,Landscape architecture
04/16/2018,19539,"Reconstruction of an entrance and adjacent site work, Bay Terrace Public Library, 18-36 Bell Boulevard, Flushing, Queens",Queens,Preliminary and Final,QL,26577,Public,Calendared for Consent,Architecture
04/16/2018,19882,"Installation of planters, Flatbush Avenue between Pacific Street and St. Johns Place, Brooklyn",Brooklyn,Preliminary,DOT,26544,Public,Calendared for Consent,Street furniture
04/16/2018,19895,"Construction of an adult fitness area and adjacent site work, Riverside Park and West 76th Street, Manhattan",Manhattan,Preliminary,DPR,26514,Public,Calendared for Consent,Landscape architecture
04/16/2018,19897,"Reconstruction of stairs and paths, Joan of Arc Island, Riverside Park, between West 91st Street and West 95th Street, Manhattan",Manhattan,Preliminary,DPR,26516,Public,Calendared for Consent,Landscape architecture
04/16/2018,19901,"Stabilization of the shoreline, Riverside Park South between West 59th Street and West 61st Street, Riverside Park between West 100th Street and West 107th Street, and Fort Washington Park between West 168th Street and West 169th Street, Manhattan",Manhattan,Preliminary and Final,DPR,26520,Public,Calendared for Consent,Landscape architecture
04/16/2018,19904,"Reconstruction of column foundations, installation of columns, and related site work (Summer Stage) Rumsey Playfield, 72nd Street and East Drive, Central Park, Manhattan",Manhattan,Preliminary,DPR/CPC,26523,Public,Calendared for Consent,Landscape architecture
04/16/2018,19905,"Removal and reinstallation of the Lehman Gates (1960) by Paul Manship, Children's Zoo near East 65th Street, Central Park, Manhattan",Manhattan,Preliminary,DPR/CPC,26524,Public,Calendared for Consent,Artwork
04/16/2018,19918,"Installation of a prototypical newsstand, 305 East 86th Street, northeast corner of Second Avenue and East 86th Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26536,Private,Calendared for Consent,Newsstand
04/16/2018,19922,"Reconstruction of an NYPD warehouse, 703 Third Avenue, Brooklyn",Brooklyn,Preliminary,NYPD,26576,Public,Calendared for Consent,Architecture
04/16/2018,20284,"Installation of a prototypical newsstand, 1900 Second Avenue, northeast corner of Second Avenue and East 97th Street, Manhattan",Manhattan,Preliminary and Final,DCA/DOT,26535,Private,Calendared for Consent,Newsstand
04/16/2018,20285,"Installation of I ought to (formerly Formosa) by Matthew Geller, Myrtle Avenue Plaza, Myrtle Avenue between Hall Street and Emerson Place, Brooklyn",Brooklyn,Final,DCLA%/DDC,26537,Public,Calendared for Consent,Artwork
04/16/2018,20286,"Rehabilitation of the Bushwick Health Center, including reconstruction of the entrance, installation of windows, fencing, and rooftop equipment, and adjacent site work, 335 Central Avenue, Brooklyn",Brooklyn,Preliminary,DDC,26538,Public,Calendared for Consent,Architecture
04/16/2018,20287,"Installation of rooftop mechanical equipment, Edenwald Library, 1255 East 233rd Street, Bronx",Bronx,Preliminary and Final,DDC,26539,Public,Calendared for Consent,Building systems & Modifications
04/16/2018,20288,"Reconstruction of the Rugby Branch of the Brooklyn Public Library, 100 Utica Avenue, Brooklyn",Brooklyn,Final,DDC,26540,Public,Calendared for Consent,Architecture
04/16/2018,20289,"Construction of a garden and installation of a greenhouse, Manhattan Bowery Shelter, 8 East 3rd Street, between Bowery and Second Avenue, Manhattan",Manhattan,Preliminary and Final,DHS,26541,Public,Calendared for Consent,Landscape architecture
04/16/2018,20290,"Installation of a mural, east façade, Department of Sanitation garage, Manhattan Districts 4/4A/7, 650 West 57th Street and 780-786 Twelfth Avenue, Manhattan",Manhattan,Preliminary,DOS,26542,Public,Calendared for Consent,Artwork
04/16/2018,20291,"Construction of an adult fitness area, Albert Montbellier Park, 139th Avenue, Springfield Boulevard, Sloan Street and East Gate Plaza, Springfield Gardens, Queens",Queens,Preliminary,DPR,26545,Public,Calendared for Consent,Landscape architecture
04/16/2018,20292,"Construction of an adult fitness area, Asser Levy Park, Sea Breeze Avenue, West Fifth Street, and Surf Avenue, Brooklyn",Brooklyn,Preliminary,DPR,26546,Public,Calendared for Consent,Landscape architecture
04/16/2018,20293,"Construction of an adult fitness area, Frederick Cabell Park (Cambria Heights Playground), Francis Lewis Boulevard between 120th Avenue and 121st Avenue, Cambria Heights, Queens",Queens,Preliminary,DPR,26547,Public,Calendared for Consent,Landscape architecture
04/16/2018,20294,"Construction of an adult fitness area, Haggerty Park, Jamaica Avenue between 202nd Street and 204th Street, Hollis, Queens",Queens,Preliminary,DPR,26548,Public,Calendared for Consent,Landscape architecture
04/16/2018,20295,"Construction of an artificial turf athletic field and an adult fitness area, Maria Hernandez Park (formerly Bushwick Park), Knickerbocker Avenue, Irving Avenue, Starr Street, and Suydam Street, Brooklyn",Brooklyn,Preliminary,DPR,26549,Public,Calendared for Consent,Landscape architecture
04/16/2018,20296,"Reconstruction of a dog run, Corlears Hook Park, Cherry Street, Jackson Street, and the FDR Drive, Manhattan",Manhattan,Preliminary,DPR,26550,Public,Calendared for Consent,Landscape architecture
04/16/2018,20297,"Reconstruction of Babi Yar Triangle, Corbin Place, Ocean View Avenue, and Brighton 14th Street, Brooklyn",Brooklyn,Preliminary,DPR,26551,Public,Calendared for Consent,Landscape architecture
04/16/2018,20298,"Reconstruction of Prospect Playground, adjacent to P.S. 211, Prospect Avenue, East 176th Street, and Clinton Avenue, Bronx",Bronx,Preliminary,DPR,26554,Public,Calendared for Consent,Landscape architecture
04/16/2018,20299,"Reconstruction of Waring Playground, Bronx Park East between Waring Avenue and Thwaites Place, Bronx",Bronx,Preliminary,DPR,26555,Public,Calendared for Consent,Landscape architecture
04/16/2018,20300,"Installation of a flagpole, Rockaway Beach, Shore Front Parkway between Beach 94th Street and Beach 95th Street, Queens",Queens,Preliminary and Final,DPR,26556,Public,Calendared for Consent,Street furniture
04/16/2018,20301,"Construction of a prototypical comfort station and adjacent site work, Scarangella Park, West 13th Street, Avenue U, Avenue V, and Stillwell Avenue, Brooklyn",Brooklyn,Final,DPR,26558,Public,Calendared for Consent,Architecture
04/16/2018,20302,"Reconstruction of a park entrance including a seating area, Brookville Park, 147th Avenue and Brookville Boulevard, Springfield Gardens, Queens",Queens,Final,DPR,26560,Public,Calendared for Consent,Landscape architecture
04/16/2018,20303,"Reconstruction of the East 96th Street Playground, Central Park, Fifth Avenue and East 96th Street, Manhattan",Manhattan,Preliminary,DPR/CPC,26561,Public,Calendared for Consent,Landscape architecture
04/16/2018,20304,"Renovation of a playground (Safari Playground), Central Park between West 91st Street, West 92nd Street, Park Drive, and Central Park West, Manhattan",Manhattan,Preliminary,DPR/CPC,26562,Public,Calendared for Consent,Landscape architecture
04/16/2018,20305,"Reconstruction of an entrance, Arthur Ashe Stadium, United States Tennis Association's Billie Jean King National Tennis Center, Flushing Meadows Corona Park, Queens",Queens,Preliminary and Final,DPR/USTA,26563,Public and Private,Calendared for Consent,Architecture
04/16/2018,20307,"Construction of a carport and installation of photovoltaic panels, Engine Company 332, 165 Bradford Street, Brooklyn",Brooklyn,Preliminary and Final,FDNY,26572,Public,Calendared for Consent,Architecture
04/16/2018,20308,"Construction of an elevated mechanical enclosure, Engine Company 265, 48-06 Rockaway Beach Boulevard, Far Rockaway, Queens",Queens,Preliminary and Final,FDNY,26573,Public,Calendared for Consent,Building systems & Modifications
04/16/2018,20309,"Construction of an elevated mechanical enclosure, Engine Company 266, 92-20 Rockaway Beach Boulevard, Far Rockaway, Queens",Queens,Preliminary and Final,FDNY,26574,Public,Calendared for Consent,Building systems & Modifications
04/16/2018,20310,"Installation of rooftop photovoltaic panels, Emergency Medical Station 45 (EMS 45), 58-65 52nd Road, Woodside, Queens",Queens,Preliminary and Final,FDNY,26575,Public,Calendared for Consent,Building systems & Modifications
04/16/2018,20311,"Relocation and long-term loan of James Marion Sims (1892) by Ferdinand von Miller II, from Central Park, Fifth Avenue at 103rd Street, Manhattan to Green-Wood Cemetery, Dale Avenue between Cypress Avenue and Sassafras Avenue, Brooklyn",Brooklyn,Preliminary,DPR,26578,Public,Calendared for Public Hearing,Artwork
04/16/2018,20327,"Reconstruction of Mapes Ballfield, Mapes Avenue, East 180th Street, Prospect Avenue, and East 181st Street, Bronx",Bronx,Preliminary,DPR,26552,Public,Calendared for Consent,Landscape architecture
04/16/2018,20328,"Reconstruction of Penn Triangle, Wythe Avenue, Penn Street, and Williamsburg Street East, Brooklyn",Brooklyn,Preliminary,DPR,26553,Public,Calendared for Consent,Landscape architecture
04/16/2018,20329,"Construction of a recreation trail, picnic area, and adult fitness area, Glendale Entrance, Forest Park, Forest Park Drive and Jackie Robinson Parkway, Queens",Queens,Final,DPR,26559,Public,Calendared for Consent,Landscape architecture
04/16/2018,20330,"Installation of a barge and gangway to accommodate citywide ferry service, 431 East 34th Street, between the FDR Drive and East River, Manhattan",Manhattan,Preliminary and Final,EDC,26566,Public,Calendared for Consent,Landscape architecture
04/16/2018,20331,"Reconstruction of the Henry Hudson entrance, Flushing Meadows Corona Park, 111th Street between 53rd Avenue and 56th Avenue, Flushing, Queens",Queens,Preliminary and Final,DPR,26557,Public,Calendared for Consent,Landscape architecture
04/16/2018,20332,"Construction of an environmental learning center (Solar One), 24-20 FDR Drive at Peter Cooper Road, Manhattan",Manhattan,Preliminary,EDC,26565,Public,Calendared for Consent,Architecture
04/16/2018,20335,"Installation of a rooftop wi-fi antenna, Mt. Pleasant Senior Housing, 421 East 116th Street, Manhattan",Manhattan,Preliminary and Final,EDC,26567,Private,Calendared for Consent,Building systems & Modifications
04/16/2018,20336,"Installation of a rooftop wi-fi antenna, PAVE Academy Charter School, 732 Henry Street, Brooklyn",Brooklyn,Preliminary and Final,EDC,26568,Public,Calendared for Consent,Building systems & Modifications
